timestamp,fold,method,target_pos_rate,train_rows,val_rows,train_pos,train_neg,synth_rows,final_train_rows,final_pos_rate,pr_auc,recall_at_1pct_fpr,notes
25-02-2026 13:17,0,baseline,,77964,118108,2080,75884,0,77964,0.0266789800420707,0.5396662521253219,0.4503381234150465,
25-02-2026 13:18,0,ctgan,0.05,77964,118108,2080,75884,2024,79988,0.05130769615442316,0.5382343054386378,0.44716821639898563,
25-02-2026 13:18,0,tabddpm,0.05,77964,118108,2080,75884,2024,79988,0.05130769615442316,0.5381899434455075,0.4382924767540152,
25-02-2026 13:18,0,smote,0.05,77964,118108,2080,75884,0,77964,0.05,0.5368943655743925,0.44167371090448015,
25-02-2026 13:18,1,baseline,,214078,118108,6533,207545,0,214078,0.030516914395687555,0.5282931743159744,0.42821670428893904,
25-02-2026 13:19,1,ctgan,0.05,214078,118108,6533,207545,4735,218813,0.0514960262872864,0.5290077040571659,0.4322799097065463,
25-02-2026 13:19,1,tabddpm,0.05,214078,118108,6533,207545,4735,218813,0.0514960262872864,0.5119105138443747,0.4036117381489842,
25-02-2026 13:20,1,smote,0.05,214078,118108,6533,207545,0,214078,0.05,0.525752050822183,0.43340857787810383,
25-02-2026 13:20,2,baseline,,331489,118108,11205,320284,0,331489,0.033802026613251115,0.5767117608801408,0.4805898937323791,
25-02-2026 13:21,2,ctgan,0.05,331489,118108,11205,320284,6242,337731,0.0516594567866142,0.5778573911299556,0.483409238776838,
25-02-2026 13:31,2,tabddpm,0.05,331489,118108,11205,320284,6242,337731,0.0516594567866142,0.5799223777164296,0.49251789199739754,
25-02-2026 13:31,2,smote,0.05,331489,118108,11205,320284,0,331489,0.05,0.5853691556944217,0.49121665582303187,
25-02-2026 13:32,3,baseline,,453779,118108,15994,437785,0,453779,0.03524623219673013,0.5238525764736611,0.4387303149606299,
25-02-2026 13:33,3,ctgan,0.05,453779,118108,15994,437785,7890,461669,0.05173403455722606,0.5257870268924952,0.44119094488188976,
25-02-2026 14:05,3,tabddpm,0.05,453779,118108,15994,437785,7890,461669,0.05173403455722606,0.5274633533576355,0.4434055118110236,
25-02-2026 14:38,3,smote,0.05,453779,118108,15994,437785,0,453779,0.05,0.524578166959317,0.44143700787401574,
