timestamp,fold,method,target_pos_rate,train_rows,val_rows,train_pos,train_neg,synth_rows,final_train_rows,final_pos_rate,pr_auc,recall_at_1pct_fpr,notes
2025-12-23 04:16:12,0,baseline,,147635,147635,3888,143747,0,147635,0.026335218613472416,0.5660730941358405,0.4553779553779554,
2025-12-23 04:17:07,0,ctgan,0.05,147635,147635,3888,143747,3883,151518,0.0512876357924471,0.5236171174180249,0.4129204129204129,
2025-12-23 04:17:38,0,ctgan,0.1,147635,147635,3888,143747,12516,160151,0.10242833326048542,0.5320133274614919,0.42007992007992007,
2025-12-23 04:18:12,0,ctgan,0.2,147635,147635,3888,143747,33021,180656,0.2043054202462138,0.5194051409660068,0.4095904095904096,
2025-12-23 04:18:29,1,baseline,,295270,147635,9894,285376,0,295270,0.03350831442408643,0.564902796376407,0.46339742458987476,
2025-12-23 04:19:17,1,ctgan,0.05,295270,147635,9894,285376,5647,300917,0.051645470345643485,0.545622940099413,0.45210795554771566,
2025-12-23 04:20:05,1,ctgan,0.1,295270,147635,9894,285376,22914,318184,0.10311015010182788,0.5350705230539402,0.43340977244663964,
2025-12-23 04:20:56,1,ctgan,0.2,295270,147635,9894,285376,50000,345270,0.1734700379413213,0.5450273187995817,0.4429352619509614,
2025-12-23 04:21:28,2,baseline,,442905,147635,15563,427342,0,442905,0.035138460843747533,0.5214997143530292,0.4372549019607843,
2025-12-23 04:22:48,2,ctgan,0.05,442905,147635,15563,427342,7748,450653,0.05172716036507024,0.5070526711592592,0.4335294117647059,
2025-12-23 04:24:11,2,ctgan,0.1,442905,147635,15563,427342,33649,476554,0.10326636645584761,0.5132662466768492,0.4203921568627451,
2025-12-23 04:25:36,2,ctgan,0.2,442905,147635,15563,427342,50000,492905,0.13301346101175682,0.5144458406808512,0.42196078431372547,
2025-12-23 04:34:41,0,baseline,,147635,147635,3888,143747,0,147635,0.026335218613472416,0.5660730941358405,0.4553779553779554,
2025-12-23 04:35:42,0,ctgan,0.05,147635,147635,3888,143747,3883,151518,0.0512876357924471,0.5225070703503021,0.4115884115884116,
2025-12-23 04:36:13,0,ctgan,0.1,147635,147635,3888,143747,12516,160151,0.10242833326048542,0.5265219498628787,0.4169164169164169,
2025-12-23 04:36:46,0,ctgan,0.2,147635,147635,3888,143747,33021,180656,0.2043054202462138,0.5223619711086377,0.4202464202464202,
2025-12-23 04:37:09,1,baseline,,295270,147635,9894,285376,0,295270,0.03350831442408643,0.564902796376407,0.46339742458987476,
2025-12-23 04:37:59,1,ctgan,0.05,295270,147635,9894,285376,5647,300917,0.051645470345643485,0.5428998486402821,0.44240606808961014,
2025-12-23 04:38:54,1,ctgan,0.1,295270,147635,9894,285376,22914,318184,0.10311015010182788,0.5441544973875486,0.44522843535014994,
2025-12-23 04:39:50,1,ctgan,0.2,295270,147635,9894,285376,50000,345270,0.1734700379413213,0.5484540976314595,0.44575762921150114,
2025-12-23 04:40:23,2,baseline,,442905,147635,15563,427342,0,442905,0.035138460843747533,0.5214997143530292,0.4372549019607843,
2025-12-23 04:41:44,2,ctgan,0.05,442905,147635,15563,427342,7748,450653,0.05172716036507024,0.5165124207064385,0.4327450980392157,
2025-12-23 04:43:15,2,ctgan,0.1,442905,147635,15563,427342,33649,476554,0.10326636645584761,0.5081932041702573,0.4164705882352941,
2025-12-23 04:44:41,2,ctgan,0.2,442905,147635,15563,427342,50000,492905,0.13301346101175682,0.519246009000157,0.4264705882352941,
