timestamp,fold,method,target_pos_rate,train_rows,val_rows,pr_auc,recall_at_1pct_fpr
2026-02-20 14:31,0,baseline,,118108,118108,0.5614727393508298,0.46682163989856296
2026-02-20 14:32,0,smote,0.05,118108,118108,0.5546037109954469,0.45963651732882504
2026-02-20 14:32,0,smote,0.1,118108,118108,0.5552996890552543,0.4528740490278952
2026-02-20 14:32,0,smote,0.2,118108,118108,0.5522871309639612,0.4623837700760778
2026-02-20 14:33,1,baseline,,236216,118108,0.5874029114466123,0.49887133182844245
2026-02-20 14:33,1,smote,0.05,236216,118108,0.5879670986151642,0.4927765237020316
2026-02-20 14:34,1,smote,0.1,236216,118108,0.5808076787649236,0.48758465011286684
2026-02-20 14:34,1,smote,0.2,236216,118108,0.5826853564904231,0.4905191873589165
2026-02-20 14:35,2,baseline,,354324,118108,0.6108642060423427,0.5159401431359791
2026-02-20 14:35,2,smote,0.05,354324,118108,0.6174334081996455,0.5146389069616135
2026-02-20 14:36,2,smote,0.1,354324,118108,0.6131909012110908,0.5176751247018
2026-02-20 14:37,2,smote,0.2,354324,118108,0.6137803894309781,0.5196269789633485
2026-02-20 14:37,3,baseline,,472432,118108,0.5598846321962194,0.46875
2026-02-20 14:38,3,smote,0.05,472432,118108,0.5574343873153456,0.4608759842519685
2026-02-20 14:39,3,smote,0.1,472432,118108,0.557964252452347,0.4672736220472441
2026-02-20 14:40,3,smote,0.2,472432,118108,0.547201833655695,0.45743110236220474
