timestamp,fold,method,target_pos_rate,train_rows,val_rows,train_pos,train_neg,synth_rows,final_train_rows,final_pos_rate,pr_auc,recall_at_1pct_fpr,notes
24-12-2025 00:19,0,baseline,,118108,118108,2826,115282,0,118108,0.02392725302265723,0.5558120405144931,0.4566779374471682,
24-12-2025 00:23,0,ctgan,0.05,118108,118108,2826,115282,3391,121499,0.051169145425065225,0.5238874920579538,0.4224429416737109,
24-12-2025 00:30,0,ctgan,0.1,118108,118108,2826,115282,10298,128406,0.10220706197529711,0.5244550235358045,0.41927303465765003,
24-12-2025 00:35,0,ctgan,0.2,118108,118108,2826,115282,26701,144809,0.20390307232285287,0.523710584739655,0.42075232459847844,
24-12-2025 01:27,0,baseline,,118108,118108,2826,115282,0,118108,0.02392725302265723,0.5558120405144931,0.4566779374471682,
24-12-2025 01:33,0,ctgan,0.05,118108,118108,2826,115282,3391,121499,0.051169145425065225,0.5258052053566805,0.42223161453930685,
24-12-2025 01:37,0,ctgan,0.1,118108,118108,2826,115282,10298,128406,0.10220706197529711,0.5244512693446602,0.42772612003381233,
24-12-2025 01:43,0,ctgan,0.2,118108,118108,2826,115282,26701,144809,0.20390307232285287,0.525269712686763,0.4241335587489434,
24-12-2025 02:02,0,baseline,,118108,118108,2826,115282,0,118108,0.02392725302265723,0.5558120405144931,0.4566779374471682,
24-12-2025 02:07,0,ctgan,0.05,118108,118108,2826,115282,3391,121499,0.051169145425065225,0.5185671590278474,0.41293322062552834,
