timestamp,fold,delay_days,run_id,method,target_pos_rate,train_rows,val_rows,train_pos,train_neg,synth_rows,final_train_rows,final_pos_rate,pr_auc,recall_at_1pct_fpr,notes
15-04-2026 17:49,0,0,20260330_180216,tvae,0.05,65615,65616,1739,63876,1715,67330,0.0512995692856082,0.5193053227543005,0.4990138067061144,tvae_epochs=300
15-04-2026 17:51,0,0,20260330_180216,tvae,0.1,65615,65616,1739,63876,5552,71167,0.10244916885635195,0.5218744984280449,0.5042735042735043,tvae_epochs=300
15-04-2026 17:53,0,0,20260330_180216,tvae,0.2,65615,65616,1739,63876,14665,80280,0.20433482810164424,0.5183006335658306,0.5036160420775806,tvae_epochs=300
15-04-2026 17:56,1,0,20260330_180216,tvae,0.05,131231,65615,3260,127971,3647,134878,0.05120924094366761,0.5993684901034471,0.5048543689320388,tvae_epochs=300
15-04-2026 17:59,1,0,20260330_180216,tvae,0.1,131231,65615,3260,127971,11322,142553,0.10229177919791235,0.6050659741323063,0.5106796116504855,tvae_epochs=300
15-04-2026 18:04,1,0,20260330_180216,tvae,0.2,131231,65615,3260,127971,29548,160779,0.2040564999160338,0.5906517780967513,0.5013592233009708,tvae_epochs=300
15-04-2026 18:10,2,0,20260330_180216,tvae,0.05,196846,65616,5835,191011,4526,201372,0.051452039012375106,0.6201676687162678,0.49257425742574257,tvae_epochs=300
15-04-2026 18:17,2,0,20260330_180216,tvae,0.1,196846,65616,5835,191011,16037,212883,0.10274188169088184,0.6160990616514678,0.4893917963224894,tvae_epochs=300
15-04-2026 18:26,2,0,20260330_180216,tvae,0.2,196846,65616,5835,191011,43377,240223,0.20485965124072217,0.6124698551156266,0.4915134370579915,tvae_epochs=300
15-04-2026 18:35,3,0,20260330_180216,tvae,0.05,262462,65615,8663,253799,5151,267613,0.05161931595251352,0.5850031306996314,0.5010317787866282,tvae_epochs=300
15-04-2026 18:44,3,0,20260330_180216,tvae,0.1,262462,65615,8663,253799,20500,282962,0.10306330885419243,0.5850933322867792,0.5022699133305819,tvae_epochs=300
15-04-2026 18:55,3,0,20260330_180216,tvae,0.2,262462,65615,8663,253799,50000,312462,0.1877444297226543,0.5839544599124424,0.4981427981840693,tvae_epochs=300
15-04-2026 19:04,4,0,20260330_180216,tvae,0.05,328077,65616,11086,316991,6182,334259,0.051660538684074324,0.5557788076277802,0.4783480352846832,tvae_epochs=300
15-04-2026 19:14,4,0,20260330_180216,tvae,0.1,328077,65616,11086,316991,25368,353445,0.10313910226485026,0.5484477871310507,0.4615076182838813,tvae_epochs=300
15-04-2026 19:28,4,0,20260330_180216,tvae,0.2,328077,65616,11086,316991,50000,378077,0.16157026214236783,0.5541353081144262,0.46912590216519645,tvae_epochs=300
15-04-2026 22:47,5,0,20260330_180216,tvae,0.05,393693,65615,13580,380113,7141,400834,0.051694716516064006,0.6369960099711299,0.5318007662835249,tvae_epochs=300
15-04-2026 22:59,5,0,20260330_180216,tvae,0.1,393693,65615,13580,380113,30164,423857,0.10320461853879964,0.632634534910604,0.5279693486590038,tvae_epochs=300
16-04-2026 09:13,5,0,20260330_180216,tvae,0.2,393693,65615,13580,380113,50000,443693,0.14329727987595026,0.6371135536734073,0.5318007662835249,tvae_epochs=300
16-04-2026 09:28,6,0,20260330_180216,tvae,0.05,459308,65616,16190,443118,7985,467293,0.05173413682635948,0.5508015419157045,0.46931927133269413,tvae_epochs=300
16-04-2026 09:44,6,0,20260330_180216,tvae,0.1,459308,65616,16190,443118,34845,494153,0.10327772977195322,0.5501749721456342,0.4712368168744008,tvae_epochs=300
16-04-2026 10:01,6,0,20260330_180216,tvae,0.2,459308,65616,16190,443118,50000,509308,0.12996065249318683,0.5489133619806166,0.46740172579098754,tvae_epochs=300
16-04-2026 10:16,7,0,20260330_180216,tvae,0.05,524924,65616,18276,506648,9352,534276,0.051711100629637116,0.5705217164316643,0.49518223711772097,tvae_epochs=300
16-04-2026 10:36,7,0,20260330_180216,tvae,0.1,524924,65616,18276,506648,40049,564973,0.10323502185060171,0.5709299876613159,0.4880603267700042,tvae_epochs=300
17-04-2026 08:00,7,0,20260330_180216,tvae,0.2,524924,65616,18276,506648,50000,574924,0.11875656608525649,0.570153342506235,0.4968579807289485,tvae_epochs=300
