method,fold,mean_dcr,median_dcr,mean_nndr,median_nndr,n_synthetic,n_after_filter
ctgan_fidelity_gated,0,5796.698677546721,3147.3465065783116,3.0915372173500337,2.184873174308095,1715,919
ctgan_fidelity_gated,0,6203.339409945499,3275.0648603935115,3.010033516889004,2.0808967377073024,5552,2832
ctgan_fidelity_gated,0,6156.931044788619,3324.325932557781,3.154214174396327,2.1568907718624066,14665,7332
ctgan_fidelity_gated,1,11879.46602702591,2982.386095233969,3.6029196307184765,2.6145247093020014,3647,1939
ctgan_fidelity_gated,1,8957.737447654557,2780.6084146612016,3.61642800674901,2.6576887819052084,11322,6468
ctgan_fidelity_gated,1,10698.247693118412,2942.7025392136998,3.4497229461896204,2.4798151195937823,29548,15923
ctgan_fidelity_gated,2,14855.805796762925,2703.106200968643,3.5701456657529214,2.6808218469027585,4526,2555
ctgan_fidelity_gated,2,23886.456751272486,2846.5055087471947,3.459899400976232,2.5631091717839634,16037,8532
ctgan_fidelity_gated,2,22990.562199274616,2808.295091844156,3.4867011837085453,2.590309819202225,43377,23357
ctgan_fidelity_gated,3,19567.5507109294,2626.95879659878,3.7063510352892393,2.7934786355238295,5151,2914
ctgan_fidelity_gated,3,26099.559286996257,2707.437874746224,3.526368712815863,2.6765786065418062,20500,11124
ctgan_fidelity_gated,3,19352.20063429969,2590.604659091276,3.6688279954694845,2.8083206054233,50000,28417
ctgan_fidelity_gated,4,7589.692165470521,2440.367732950918,3.767288388130809,2.9287575690873524,6182,3768
ctgan_fidelity_gated,4,10050.501720196506,2520.5601524985796,3.6957608988376442,2.88026418971997,25368,14938
ctgan_fidelity_gated,4,10093.093344519166,2504.426258948828,3.7680680877896178,2.9227547954725632,50000,29778
ctgan_fidelity_gated,5,10689.487397584953,2448.7087254050857,3.7682718318970987,2.9552804507041297,7141,4318
ctgan_fidelity_gated,5,7369.613562647589,2387.4153807219245,3.842527673812909,3.0298012699802177,30164,18774
ctgan_fidelity_gated,5,8626.59668686021,2370.5047367550396,3.835697886154775,2.9903352837431187,50000,31087
ctgan_fidelity_gated,6,9923.782933286044,2319.762204946878,3.777378481082556,2.9857496889152766,7985,5069
ctgan_fidelity_gated,6,7233.458898308906,2331.9822115865827,3.8380066646556372,3.022954966613999,34845,22245
ctgan_fidelity_gated,6,6266.1131295155665,2316.722559295469,3.740833747958899,2.944725274027071,50000,32167
ctgan_fidelity_gated,7,7279.652428545961,2387.120178071575,3.7931640233145125,3.0117115220039166,9352,6003
ctgan_fidelity_gated,7,9607.385165135192,2340.8297840990062,3.82831426813008,3.0035285584231737,40049,25885
ctgan_fidelity_gated,7,7043.438636536663,2371.666299415776,3.8089762369895146,2.99804088753834,50000,32095
