timestamp,fold,delay_days,run_id,method,target_pos_rate,train_rows,val_rows,train_pos,train_neg,synth_rows,final_train_rows,final_pos_rate,pr_auc,recall_at_1pct_fpr,notes
08-04-2026 15:28,0,0,20260330_180216,ctgan_tstr,0.05,65615,65616,1739,63876,3362,67238,0.05000148725423124,0.04288796388949383,0.028928336620644313,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 15:31,0,0,20260330_180216,ctgan_tstr,0.1,65615,65616,1739,63876,7098,70974,0.10000845379998309,0.04055285640313158,0.023668639053254437,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 15:33,0,0,20260330_180216,ctgan_tstr,0.2,65615,65616,1739,63876,15969,79845,0.2,0.04275005472618994,0.006574621959237344,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 15:37,1,0,20260330_180216,ctgan_tstr,0.05,131231,65615,3260,127971,6736,134707,0.05000482528747578,0.0826324846492336,0.01087378640776699,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 15:42,1,0,20260330_180216,ctgan_tstr,0.1,131231,65615,3260,127971,14219,142190,0.1,0.08122383479869118,0.03805825242718447,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 15:47,1,0,20260330_180216,ctgan_tstr,0.2,131231,65615,3260,127971,31993,159964,0.2000012502813133,0.09329839909219406,0.028737864077669904,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 15:56,2,0,20260330_180216,ctgan_tstr,0.05,196846,65616,5835,191011,10054,201065,0.050003730137020364,0.09596729284476274,0.04031117397454031,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 16:04,2,0,20260330_180216,ctgan_tstr,0.1,196846,65616,5835,191011,21224,212235,0.10000235587909628,0.09529186279363591,0.02652050919377652,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 16:13,2,0,20260330_180216,ctgan_tstr,0.2,196846,65616,5835,191011,47753,238764,0.2000008376472165,0.08807641854237322,0.04031117397454031,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 16:26,3,0,20260330_180216,ctgan_tstr,0.05,262462,65615,8663,253799,13358,267157,0.05000056146760145,0.1041421409563427,0.052827073875361126,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 16:38,3,0,20260330_180216,ctgan_tstr,0.1,262462,65615,8663,253799,28200,281999,0.10000035461118656,0.09759632711190445,0.07263722657862154,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 16:51,3,0,20260330_180216,ctgan_tstr,0.2,262462,65615,8663,253799,50000,303799,0.1645825035632112,0.08822318278030108,0.0540652084193149,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 17:07,4,0,20260330_180216,ctgan_tstr,0.05,328077,65616,11086,316991,16684,333675,0.050000749232037164,0.0748841171315074,0.03207698476343224,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 17:24,4,0,20260330_180216,ctgan_tstr,0.1,328077,65616,11086,316991,35222,352213,0.10000198743374038,0.06460843440988383,0.015236567762630313,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 17:41,4,0,20260330_180216,ctgan_tstr,0.2,328077,65616,11086,316991,50000,366991,0.1362431231283601,0.04567562722500928,0.02165196471531676,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 18:03,5,0,20260330_180216,ctgan_tstr,0.05,393693,65615,13580,380113,20006,400119,0.05000012496282356,0.11891966452512678,0.04482758620689655,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 18:36,5,0,20260330_180216,ctgan_tstr,0.1,393693,65615,13580,380113,42235,422348,0.10000047354314452,0.09596387288851396,0.011494252873563218,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 18:56,5,0,20260330_180216,ctgan_tstr,0.2,393693,65615,13580,380113,50000,430113,0.11624852073757362,0.12394985001348519,0.0681992337164751,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
08-04-2026 19:20,6,0,20260330_180216,ctgan_tstr,0.05,459308,65616,16190,443118,23323,466441,0.050002036699175245,0.09187163312995719,0.03355704697986577,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
09-04-2026 06:24,6,0,20260330_180216,ctgan_tstr,0.1,459308,65616,16190,443118,49236,492354,0.1000012186353721,0.07605720100261072,0.03691275167785235,tstr; train=synth_fraud+real_legit_only; ctgan_epochs=150
