timestamp,fold,delay_days,run_id,method,target_pos_rate,train_rows,val_rows,train_pos,train_neg,synth_rows,final_train_rows,final_pos_rate,pr_auc,recall_at_1pct_fpr,notes
07-04-2026 12:02,0,0,20260330_180216,ctgan_fidelity_gated,0.05,65615,65616,1739,63876,919,66534,0.039949499504012984,0.5199200062742159,0.5062458908612755,dcr_gated_p90; raw_synth_rows=1715
07-04-2026 12:05,0,0,20260330_180216,ctgan_fidelity_gated,0.1,65615,65616,1739,63876,2832,68447,0.0667815974403553,0.5236129709221006,0.5101906640368179,dcr_gated_p90; raw_synth_rows=5552
07-04-2026 12:07,0,0,20260330_180216,ctgan_fidelity_gated,0.2,65615,65616,1739,63876,7332,72947,0.12435055588303837,0.5209085780593455,0.5009861932938856,dcr_gated_p90; raw_synth_rows=14665
07-04-2026 12:12,1,0,20260330_180216,ctgan_fidelity_gated,0.05,131231,65615,3260,127971,1939,133170,0.0390403243973868,0.6009807396794533,0.5029126213592233,dcr_gated_p90; raw_synth_rows=3647
07-04-2026 12:17,1,0,20260330_180216,ctgan_fidelity_gated,0.1,131231,65615,3260,127971,6468,137699,0.07064684565610498,0.6022067348101204,0.5114563106796116,dcr_gated_p90; raw_synth_rows=11322
07-04-2026 12:21,1,0,20260330_180216,ctgan_fidelity_gated,0.2,131231,65615,3260,127971,15923,147154,0.1303600309879446,0.6040039479009196,0.5060194174757282,dcr_gated_p90; raw_synth_rows=29548
07-04-2026 12:30,2,0,20260330_180216,ctgan_fidelity_gated,0.05,196846,65616,5835,191011,2555,199401,0.04207601767293043,0.624666563492695,0.4908062234794908,dcr_gated_p90; raw_synth_rows=4526
07-04-2026 12:39,2,0,20260330_180216,ctgan_fidelity_gated,0.1,196846,65616,5835,191011,8532,205378,0.06995393859128046,0.6212837263530246,0.49823196605374825,dcr_gated_p90; raw_synth_rows=16037
07-04-2026 12:48,2,0,20260330_180216,ctgan_fidelity_gated,0.2,196846,65616,5835,191011,23357,220203,0.1325685844425371,0.6128080714941853,0.493988684582744,dcr_gated_p90; raw_synth_rows=43377
07-04-2026 13:01,3,0,20260330_180216,ctgan_fidelity_gated,0.05,262462,65615,8663,253799,2914,265376,0.043624894489328346,0.5942944153909245,0.5158893933140735,dcr_gated_p90; raw_synth_rows=5151
07-04-2026 13:15,3,0,20260330_180216,ctgan_fidelity_gated,0.1,262462,65615,8663,253799,11124,273586,0.07232460725329512,0.5946043748425228,0.5096987205943045,dcr_gated_p90; raw_synth_rows=20500
07-04-2026 13:29,3,0,20260330_180216,ctgan_fidelity_gated,0.2,262462,65615,8663,253799,28417,290879,0.12747568576624643,0.5877880351942747,0.49690466364011554,dcr_gated_p90; raw_synth_rows=50000
07-04-2026 13:47,4,0,20260330_180216,ctgan_fidelity_gated,0.05,328077,65616,11086,316991,3768,331845,0.04476186171254652,0.5524083231240846,0.4735364875701684,dcr_gated_p90; raw_synth_rows=6182
07-04-2026 14:05,4,0,20260330_180216,ctgan_fidelity_gated,0.1,328077,65616,11086,316991,14938,343015,0.07586840225646109,0.5513889116332421,0.4755412991178829,dcr_gated_p90; raw_synth_rows=25368
07-04-2026 14:24,4,0,20260330_180216,ctgan_fidelity_gated,0.2,328077,65616,11086,316991,29778,357855,0.11419150214472343,0.5518792053736928,0.46471531676022454,dcr_gated_p90; raw_synth_rows=50000
07-04-2026 14:45,5,0,20260330_180216,ctgan_fidelity_gated,0.05,393693,65615,13580,380113,4318,398011,0.044968606395300634,0.6309512316640783,0.5283524904214559,dcr_gated_p90; raw_synth_rows=7141
07-04-2026 15:06,5,0,20260330_180216,ctgan_fidelity_gated,0.1,393693,65615,13580,380113,18774,412467,0.07844021461110828,0.6331252512479634,0.5318007662835249,dcr_gated_p90; raw_synth_rows=30164
07-04-2026 15:27,5,0,20260330_180216,ctgan_fidelity_gated,0.2,393693,65615,13580,380113,31087,424780,0.10515325580300391,0.6325815366747392,0.5306513409961686,dcr_gated_p90; raw_synth_rows=50000
07-04-2026 15:52,6,0,20260330_180216,ctgan_fidelity_gated,0.05,459308,65616,16190,443118,5069,464377,0.045779614408120985,0.5578039025809393,0.46836049856184087,dcr_gated_p90; raw_synth_rows=7985
07-04-2026 16:18,6,0,20260330_180216,ctgan_fidelity_gated,0.1,459308,65616,16190,443118,22245,481553,0.07981468291133063,0.55209566262634,0.4779482262703739,dcr_gated_p90; raw_synth_rows=34845
07-04-2026 16:43,6,0,20260330_180216,ctgan_fidelity_gated,0.2,459308,65616,16190,443118,32167,491475,0.0983915763772318,0.5512124133395108,0.46740172579098754,dcr_gated_p90; raw_synth_rows=50000
07-04-2026 17:11,7,0,20260330_180216,ctgan_fidelity_gated,0.05,524924,65616,18276,506648,6003,530927,0.045729450564766905,0.5626244545459693,0.49434436531210724,dcr_gated_p90; raw_synth_rows=9352
07-04-2026 17:40,7,0,20260330_180216,ctgan_fidelity_gated,0.1,524924,65616,18276,506648,25885,550809,0.08017479743431934,0.570325386864388,0.5006284038542103,dcr_gated_p90; raw_synth_rows=40049
07-04-2026 18:10,7,0,20260330_180216,ctgan_fidelity_gated,0.2,524924,65616,18276,506648,32095,557019,0.09042959037303934,0.567488220717676,0.4897360703812317,dcr_gated_p90; raw_synth_rows=50000
