timestamp,fold,strategy,train_rows,val_rows,pr_auc,recall_at_1pct_fpr
2026-02-20 14:12,0,static,98423,98423,0.5640288870791841,0.49304295220810646
2026-02-20 14:12,0,sliding,98423,98423,0.5640288870791841,0.49304295220810646
2026-02-20 14:13,1,static,196846,98424,0.6166000590940325,0.5052968711505297
2026-02-20 14:13,1,sliding,98423,98424,0.5969198431094304,0.4924858339492486
2026-02-20 14:13,2,static,295270,98423,0.5602453782024673,0.47314161692892026
2026-02-20 14:13,2,sliding,98423,98423,0.5358576238189157,0.44546934346174716
2026-02-20 14:14,3,static,393693,98423,0.5953370592250192,0.4964731416169289
2026-02-20 14:14,3,sliding,98423,98423,0.5801121251348909,0.4940314704286489
2026-02-20 14:15,4,static,492116,98424,0.5727385351908025,0.4851339417132764
2026-02-20 14:15,4,sliding,98423,98424,0.5752622306249747,0.5027965852222549
